timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
20/07/2017 21:43,383,241 /common-resources/plugins/datatables/jquery.dataTables.js,200,OK,Thread Group 1-9,text,true,,138048,462,2,2,85,0,0
20/07/2017 21:43,70,244 /common-resources/js/api.js,200,OK,Thread Group 1-9,text,true,,5622,516,2,2,69,0,0
20/07/2017 21:43,1275,Tickets,200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-9,,true,,163960,4855,2,2,976,11,66
20/07/2017 21:43,106,254 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/querycustomerin1,200,OK,Thread Group 1-9,,true,,522,599,2,2,106,0,42
20/07/2017 21:43,7204,255 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/querycustomerin1,200,OK,Thread Group 1-9,text,true,,31458,1003,2,2,7120,0,0
20/07/2017 21:43,7310,BuscarCliente,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,31980,1602,2,2,7226,17,42
20/07/2017 21:43,85,256 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryregisteredproductversion2,200,OK,Thread Group 1-9,,true,,378,699,2,2,85,0,39
20/07/2017 21:43,750,257 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryregisteredproductversion2,200,OK,Thread Group 1-9,text,true,,1395,1285,2,2,750,0,0
20/07/2017 21:43,835,SeleccionarCliente,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,1773,1984,2,2,835,2,39
20/07/2017 21:43,41,260 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-9,,true,,378,656,2,2,41,0,0
20/07/2017 21:43,9482,169 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-10,text,true,,1563,1163,2,2,9482,0,0
20/07/2017 21:43,9588,ComentarSeguimiento,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,1941,1869,2,2,9588,2,43
20/07/2017 21:43,156,297 /portal-servicios/listar-tickets.html,200,OK,Thread Group 1-10,text,true,,2529,543,2,2,156,0,61
20/07/2017 21:43,109,298 /portal-servicios/js/natural.js,200,OK,Thread Group 1-10,text,true,,1559,438,2,2,109,0,0
20/07/2017 21:43,69,299 /portal-servicios/js/date-dd-MMM-YYYY.js,200,OK,Thread Group 1-10,text,true,,1291,447,2,2,69,0,0
20/07/2017 21:43,73,300 /portal-servicios/js/listar-tickets.js,200,OK,Thread Group 1-10,text,true,,4307,445,2,2,73,0,0
20/07/2017 21:43,69,301 /common-resources/js/api.js,200,OK,Thread Group 1-10,text,true,,5622,518,2,2,69,0,0
20/07/2017 21:43,100,302 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryservicerequestextensionfo,200,OK,Thread Group 1-10,,true,,378,701,2,2,100,0,43
20/07/2017 21:43,1131,303 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryservicerequestextensionfo,200,OK,Thread Group 1-10,text,true,,2963,1338,2,2,1131,0,0
20/07/2017 21:43,1707,ListarTickets,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-10,,true,,18649,4430,2,2,1707,5,104
20/07/2017 21:43,46,182 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryservicerequestextensionfo,200,OK,Thread Group 1-10,,true,,378,701,2,2,46,0,0
20/07/2017 21:43,1238,183 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryservicerequestextensionfo,200,OK,Thread Group 1-10,text,true,,3327,1415,2,2,1238,0,0
20/07/2017 21:43,1284,ListarSolicitudes.Siguiente,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,3705,2116,2,2,1284,1,0
20/07/2017 21:43,86,182 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryservicerequestextensionfo,200,OK,Thread Group 1-10,,true,,378,701,2,2,86,0,38
20/07/2017 21:43,1183,183 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryservicerequestextensionfo,200,OK,Thread Group 1-10,text,true,,2658,1415,2,2,1183,0,0
20/07/2017 21:43,1269,ListarSolicitudes.Siguiente,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,3036,2116,2,2,1269,1,38
20/07/2017 21:43,41,182 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryservicerequestextensionfo,200,OK,Thread Group 1-10,,true,,378,701,2,2,41,0,0
20/07/2017 21:43,974,183 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryservicerequestextensionfo,200,OK,Thread Group 1-10,text,true,,3550,1415,2,2,974,0,0
20/07/2017 21:43,1015,ListarSolicitudes.Siguiente,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,3928,2116,2,2,1015,1,0
20/07/2017 21:43,150,51 /common-resources/js/api.js,200,OK,Thread Group 1-10,text,true,,5622,524,2,2,150,0,70
20/07/2017 21:43,150,OrdenesServicio,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,5622,524,2,2,150,1,70
20/07/2017 21:43,98,52 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/querycustomerin1,200,OK,Thread Group 1-10,,true,,378,693,2,2,98,0,42
20/07/2017 21:43,7441,261 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-9,text,true,,1556,2617,2,2,7440,0,0
20/07/2017 21:43,7482,GuardarTicket,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,1934,3273,2,2,7481,2,0
20/07/2017 21:43,134,262 /portal-servicios/ver-ticket.html,200,OK,Thread Group 1-9,text,true,,5041,491,2,2,134,0,60
20/07/2017 21:43,70,263 /portal-servicios/js/ver-ticket.js,200,OK,Thread Group 1-9,text,true,,7421,453,2,2,70,0,0
20/07/2017 21:43,74,264 /common-resources/js/api.js,200,OK,Thread Group 1-9,text,true,,5622,530,2,2,74,0,0
20/07/2017 21:43,278,AceptarMensaje,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,18084,1474,2,2,278,3,60
20/07/2017 21:43,105,295 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-9,,true,,378,706,2,2,105,0,43
20/07/2017 21:43,7730,53 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/querycustomerin1,200,OK,Thread Group 1-10,text,true,,35235,1011,2,2,7647,0,0
20/07/2017 21:43,7828,BuscarCliente,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,35613,1704,2,2,7745,3,42
20/07/2017 21:43,98,54 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryregisteredproductversion2,200,OK,Thread Group 1-10,,true,,378,707,2,2,98,0,43
20/07/2017 21:43,79,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-8,text,true,,3320,541,3,3,79,0,31
20/07/2017 21:43,79,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,3320,541,3,3,79,1,31
20/07/2017 21:43,718,55 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/queryregisteredproductversion2,200,OK,Thread Group 1-10,text,true,,1394,1291,3,3,718,0,0
20/07/2017 21:43,816,SeleccionarCliente,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,1772,1998,3,3,816,2,43
20/07/2017 21:43,46,56 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-10,,true,,378,700,3,3,46,0,0
20/07/2017 21:43,841,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-8,text,true,,3302,856,3,3,841,0,0
20/07/2017 21:43,6,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-8,text,true,,2504,735,3,3,6,0,0
20/07/2017 21:43,895,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-8,text,true,,1865,7880,3,3,895,0,65
20/07/2017 21:43,1742,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,7671,9471,3,3,1742,3,65
20/07/2017 21:43,49,330 /Gmg.Identity.Provider.FrontEnd.Web/Logout,200,OK,Thread Group 1-8,text,true,,2820,660,3,3,49,0,0
20/07/2017 21:43,49,LogOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2820,660,3,3,49,0,0
20/07/2017 21:43,82,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-8,text,true,,3179,627,3,3,82,0,24
20/07/2017 21:43,82,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,3179,627,3,3,82,0,24
20/07/2017 21:43,9283,296 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-9,text,true,,1563,68070,3,3,9282,0,0
20/07/2017 21:43,9388,SubirArchivo,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,1941,68776,3,3,9387,2,43
20/07/2017 21:43,85,168 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-9,,true,,378,706,3,3,85,0,38
20/07/2017 21:43,954,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-8,text,true,,3299,856,3,3,954,0,0
20/07/2017 21:43,10,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-8,text,true,,2504,735,3,3,10,0,0
20/07/2017 21:43,253,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-8,text,true,,1865,7884,3,3,253,0,70
20/07/2017 21:43,1217,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,7668,9475,3,3,1217,2,70
20/07/2017 21:43,43,330 /Gmg.Identity.Provider.FrontEnd.Web/Logout,200,OK,Thread Group 1-8,text,true,,2820,660,3,3,43,0,0
20/07/2017 21:43,43,LogOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2820,660,3,3,43,2,0
20/07/2017 21:43,39,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-8,text,true,,3179,627,3,3,39,0,0
20/07/2017 21:43,39,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,3179,627,3,3,39,0,0
20/07/2017 21:43,873,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-8,text,true,,3293,856,3,3,873,0,0
20/07/2017 21:43,305,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-8,text,true,,2504,735,3,3,305,0,223
20/07/2017 21:43,199,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-8,text,true,,1865,7878,3,3,199,0,0
20/07/2017 21:43,1377,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,7662,9469,3,3,1377,2,223
20/07/2017 21:43,52,330 /Gmg.Identity.Provider.FrontEnd.Web/Logout,200,OK,Thread Group 1-8,text,true,,2820,660,3,3,52,0,0
20/07/2017 21:43,52,LogOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2820,660,3,3,52,0,0
20/07/2017 21:43,45,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-8,text,true,,3179,627,3,3,45,0,0
20/07/2017 21:43,45,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,3179,627,3,3,45,1,0
20/07/2017 21:43,870,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-8,text,true,,3303,856,3,3,870,0,0
20/07/2017 21:43,6,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-8,text,true,,2504,735,3,3,6,0,0
20/07/2017 21:43,299,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-8,text,true,,1865,7880,3,3,298,0,76
20/07/2017 21:43,1175,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,7672,9471,3,3,1174,1,76
20/07/2017 21:43,85,235 /portal-servicios/crear-ticket.html,200,OK,Thread Group 1-8,text,true,,4137,535,3,3,85,0,0
20/07/2017 21:43,91,236 /portal-servicios/js/crear-tickets.js,200,OK,Thread Group 1-8,text,true,,5350,442,3,3,91,0,0
20/07/2017 21:43,84,237 /common-resources/plugins/datatables/dataTables.bootstrap.css,200,OK,Thread Group 1-8,text,true,,2500,481,3,3,84,0,0
20/07/2017 21:43,81,239 /common-resources/plugins/datatables/extensions/Responsive/css/dataTables.responsive.css,200,OK,Thread Group 1-8,text,true,,974,508,3,3,81,0,0
20/07/2017 21:43,83,240 /common-resources/plugins/spinnerjs/jquery.babypaunch.spinner.min.js,200,OK,Thread Group 1-8,text,true,,1078,473,3,3,83,0,0
