2017/08/24 17:18:23 WARN  - jmeter.protocol.http.proxy.Proxy: [50878] Empty response to http over SSL. Probably waiting for user to authorize the certificate for clients1.google.com:443 
2017/08/24 17:18:34 WARN  - jmeter.protocol.http.proxy.Proxy: [50879] Empty response to http over SSL. Probably waiting for user to authorize the certificate for clients1.google.com:443 
2017/08/24 17:18:36 WARN  - jmeter.protocol.http.proxy.Proxy: [50880] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:36 WARN  - jmeter.protocol.http.proxy.Proxy: [50881] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:42 INFO  - jmeter.protocol.http.proxy.ProxyControl: [50888] Creating entry rapiweb-capacitacion.gmgretail.p.azurewebsites.net in D:\Vector\Performance\bin\proxyserver.jks 
2017/08/24 17:18:47 INFO  - jmeter.protocol.http.proxy.Proxy: [50888] KeyStore for SSL loaded OK and put host 'rapiweb-capacitacion.gmgretail.p.azurewebsites.net' in map with key (rapiweb-capacitacion.gmgretail.p.azurewebsites.net) 
2017/08/24 17:18:47 WARN  - jmeter.protocol.http.proxy.Proxy: [50888] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:47 WARN  - jmeter.protocol.http.proxy.Proxy: [50889] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:54 WARN  - jmeter.protocol.http.proxy.Proxy: [50894] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:54 WARN  - jmeter.protocol.http.proxy.Proxy: [50893] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:54 WARN  - jmeter.protocol.http.proxy.Proxy: [50892] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:54 WARN  - jmeter.protocol.http.proxy.Proxy: [50897] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:54 WARN  - jmeter.protocol.http.proxy.Proxy: [50898] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:54 WARN  - jmeter.protocol.http.proxy.Proxy: [50900] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:55 WARN  - jmeter.protocol.http.proxy.Proxy: [50905] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:55 WARN  - jmeter.protocol.http.proxy.Proxy: [50909] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:55 WARN  - jmeter.protocol.http.proxy.Proxy: [50910] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
2017/08/24 17:18:55 WARN  - jmeter.protocol.http.proxy.Proxy: [50914] Empty response to http over SSL. Probably waiting for user to authorize the certificate for rapiweb-capacitacion.gmgretail.p.azurewebsites.net:443 
